config_id,best_file,best_rtt,num_tasks,connection_probability,client_percentage,server_percentage,dnn1_per_server,dnn1_per_client,dnn1_initial_queue,dnn2_initial_queue
ds_0128,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0129,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0130,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,437,0.05,0.6,0.9,1,2,0,0
ds_0131,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,437,0.05,0.6,0.9,1,2,0,0
ds_0132,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,437,0.05,0.6,0.9,1,2,0,0
ds_0133,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,437,0.05,0.6,0.9,1,2,0,0
ds_0134,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,437,0.05,0.6,0.9,1,2,0,0
ds_0135,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,437,0.05,0.6,0.9,1,2,0,0
ds_0136,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,437,0.05,0.6,0.9,1,2,0,0
ds_0137,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,437,0.05,0.6,0.9,1,2,0,0
ds_0138,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,437,0.05,0.6,0.9,1,2,0,0
ds_0139,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,437,0.05,0.6,0.9,1,2,0,0
ds_0140,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,437,0.05,0.6,0.9,1,2,0,0
ds_0141,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,437,0.05,0.6,0.9,1,2,0,0
ds_0142,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,437,0.05,0.6,0.9,1,2,0,0
ds_0143,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,437,0.05,0.6,0.9,1,2,0,0
ds_0144,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,437,0.05,0.6,0.9,1,2,0,0
ds_0145,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,437,0.05,0.6,0.9,1,2,0,0
ds_0146,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,437,0.05,0.6,0.9,1,2,0,0
ds_0147,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,437,0.05,0.6,0.9,1,2,0,0
ds_0148,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,437,0.05,0.6,0.9,1,2,0,0
ds_0149,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,437,0.05,0.6,0.9,1,2,0,0
ds_0150,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,677,0.05,0.6,0.9,1,2,0,0
ds_0151,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,453,0.05,0.6,0.9,1,2,0,0
ds_0152,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,453,0.05,0.6,0.9,1,2,0,0
ds_0153,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,453,0.05,0.6,0.9,1,2,0,0
ds_0154,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,173,0.05,0.6,0.9,1,2,0,0
ds_0155,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,117,0.05,0.6,0.9,1,2,0,0
ds_0156,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,117,0.05,0.6,0.9,1,2,0,0
ds_0157,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,117,0.05,0.6,0.9,1,2,0,0
ds_0158,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,117,0.05,0.6,0.9,1,2,0,0
ds_0159,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,117,0.05,0.6,0.9,1,2,0,0
ds_0160,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,117,0.05,0.6,0.9,1,2,0,0
ds_0161,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,117,0.05,0.6,0.9,1,2,0,0
