dataset_id,num_tasks,task_ids,optimal_rtt,placement_plan,task_types
ds_00508,5,"(0, 1, 2, 3, 4)",0.6990284334644152,"{'0': [0, 1], '1': [1, 4], '2': [15, 78], '3': [2, 14], '4': [14, 71]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_00365,5,"(0, 1, 2, 3, 4)",0.9375766582913164,"{'0': [0, 2], '1': [5, 29], '2': [4, 22], '3': [1, 8], '4': [11, 54]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00131,5,"(0, 1, 2, 3, 4)",1.2246375174257687,"{'0': [1, 7], '1': [4, 23], '2': [14, 70], '3': [1, 8], '4': [17, 86]}","{0: 'dnn2', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00595,5,"(0, 1, 2, 3, 4)",1.2683118524450294,"{'0': [0, 1], '1': [11, 53], '2': [4, 22], '3': [1, 9], '4': [11, 57]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00968,5,"(0, 1, 2, 3, 4)",0.7794875587099681,"{'0': [0, 0], '1': [14, 68], '2': [15, 78], '3': [2, 14], '4': [17, 84]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_00769,5,"(0, 1, 2, 3, 4)",1.045984076524266,"{'0': [17, 83], '1': [10, 49], '2': [15, 78], '3': [2, 14], '4': [17, 84]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_00176,5,"(0, 1, 2, 3, 4)",1.7564923119404334,"{'0': [11, 53], '1': [5, 29], '2': [13, 64], '3': [14, 69], '4': [17, 84]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn2', 4: 'dnn2'}"
ds_00885,5,"(0, 1, 2, 3, 4)",0.8892764894386946,"{'0': [0, 0], '1': [14, 70], '2': [14, 74], '3': [14, 75], '4': [11, 59]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_01048,5,"(0, 1, 2, 3, 4)",1.5710465254994874,"{'0': [0, 1], '1': [1, 4], '2': [12, 63], '3': [17, 84], '4': [14, 71]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_00145,5,"(0, 1, 2, 3, 4)",1.791403822098324,"{'0': [0, 0], '1': [13, 64], '2': [4, 20], '3': [11, 56], '4': [13, 67]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00033,5,"(0, 1, 2, 3, 4)",2.7092399438139574,"{'0': [11, 53], '1': [13, 65], '2': [1, 7], '3': [4, 21], '4': [17, 84]}","{0: 'dnn1', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
